CountryCode,Year,inflation_cpi_yoy,C1M_School closing,C2M_Workplace closing,C3M_Cancel public events,C4M_Restrictions on gatherings,C5M_Close public transport,C6M_Stay at home requirements,C7M_Restrictions on internal movement,C8EV_International travel controls,net_lending_gdp_lag1,broad_money_growth_lag2
GTM,2022,6.88512823344287,0.6666666666666666,0.2456621004566209,0.6013698630136987,0.6636986301369863,0.4835616438356164,0.1068493150684931,0.0,0.1657534246575342,-1.14900209809302,18.0658483465903
GTM,2023,6.20657592272126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.70787872678475,8.02431661031368
GTM,2024,2.86992752918294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.25751927993897,7.008374832993
ISL,2022,8.3087551155892,0.0502283105022831,0.0502283105022831,0.0753424657534246,0.1164383561643835,0.0,0.0,0.0,0.0472602739726027,-7.08057458126445,7.36536446591488
ISL,2023,8.73630299937298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.55233129678637,10.8672085465442
ISL,2024,5.85683849970066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.07771082527326,8.86771419409841
JOR,2022,4.22915568897117,0.0,0.1497716894977168,0.0808219178082191,0.2246575342465753,0.0,0.0,0.0,0.1212328767123287,-5.26503751900911,5.73527582553463
JOR,2023,2.08486986327134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.48515275513556,7.03569292231946
JOR,2024,1.55659611283953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.12835807171994,5.37842889123464
KAZ,2022,15.0278644440851,0.1260273972602739,0.1159817351598173,0.2602739726027397,0.2602739726027397,0.0383561643835616,0.1178082191780822,0.2904109589041095,0.2068493150684931,-4.43154397559644,16.8638143050986
KAZ,2023,14.7249900200331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.908082609565766,20.7944085922016
KAZ,2024,8.83943897452672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.14466383676501,13.9427338944718
KHM,2022,5.34370264895437,0.3123287671232876,0.1470319634703196,0.184931506849315,0.0780821917808219,0.0,0.0054794520547945,0.0438356164383561,0.1904109589041095,-5.16502013090928,15.2872472711995
KHM,2023,2.12746796594194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.366650655844595,16.4029214353518
KHM,2024,0.808042016536654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.32743423908292,8.19379553392677
KOR,2022,5.08951365062842,0.0337899543378995,0.1954337899543378,0.1465753424657534,0.2931506849315068,0.0,0.0,0.0,0.2719178082191781,-0.723170898823262,9.82376218361547
KOR,2023,3.5974562502901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.74784573119289,12.9335375506965
KOR,2024,2.32174328643542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.01976823601103,4.00000977288601
MAR,2022,6.65704202759067,0.1433789954337899,0.3333333333333333,0.1643835616438356,0.021917808219178,0.0,0.0027397260273972,0.0,0.2842465753424658,-5.9768322910816,8.36179141868821
MAR,2023,6.09114152504141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.2081096135921,5.09394192746299
MAR,2024,0.985256592004507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.35528687431704,8.01359504265407
MDA,2022,28.7372976766235,0.0721461187214611,0.0958904109589041,0.2027397260273972,0.2027397260273972,0.0,0.0,0.0,0.0643835616438356,-1.93536291053598,19.6554901860289
MDA,2023,13.4170104381299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.13255881003466,11.2814947779343
MDA,2024,4.67773516007052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0236524937942,5.27126725973233
MEX,2022,7.8962761916855,0.3159817351598173,0.2520547945205479,0.3013698630136986,0.0,0.1082191780821917,0.084931506849315,0.2835616438356164,0.25,-3.32386358596923,13.4400142059953
MEX,2023,5.52796087314389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.30934820885304,9.50768951064234
MEX,2024,4.72225588452932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.18573429071407,7.32427911846193
MUS,2022,10.7737512242899,0.0748858447488584,0.0082191780821917,0.3945205479452054,0.4013698630136986,0.0,0.0,0.0,0.1143835616438356,-12.3942651708396,16.8810646905944
MUS,2023,7.05298238454736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.51265408315371,8.84810654987261
MUS,2024,3.6045220384796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.79767403180484,5.25662705352603
MYS,2022,3.37869862549928,0.1114155251141552,0.2429223744292237,0.1671232876712328,0.0054794520547945,0.0,0.0,0.0027397260273972,0.2082191780821917,-6.37634853380791,4.59324770584525
MYS,2023,2.48886560125754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.52925395881785,5.55903409397078
MYS,2024,1.834100204499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.99879793435299,3.99701491521236
NOR,2022,5.76412317852272,0.0502283105022831,0.0666666666666666,0.0424657534246575,0.084931506849315,0.0,0.0383561643835616,0.0,0.0287671232876712,9.88845566684575,12.158774076833
NOR,2023,5.51784987104659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.3008544533705,10.5019184861607
NOR,2024,3.14530134431073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.3487947507811,5.54670209272964
