CountryCode,Year,inflation_cpi_yoy,C1M_School closing,C2M_Workplace closing,C3M_Cancel public events,C4M_Restrictions on gatherings,C5M_Close public transport,C6M_Stay at home requirements,C7M_Restrictions on internal movement,C8EV_International travel controls,net_lending_gdp_lag1,broad_money_growth_lag2,demand_restrictions,supply_restrictions,restriction_index,inflation_cpi_yoy_dm,demand_restrictions_dm,supply_restrictions_dm,net_lending_gdp_lag1_dm,broad_money_growth_lag2_dm,restriction_index_dm
CRI,2023,0.525193508693455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0522988947814059,8.76885327082765,0.0,0.0,0.0,-1.908589708518937,0.010320178299630348,0.03133833442052619,0.18701610681833802,1.531195407188898,0.019327959494299995
CRI,2024,-0.412853001047069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.439026284102866,-2.35512487440564,0.0,0.0,0.0,-2.149506063655302,0.010320178299630348,0.03133833442052619,1.0637637536256586,-8.230928379131601,0.019327959494299995
DNK,2022,7.6965669988926,0.028310502283105,0.05662100456621,0.0424657534246575,0.0,0.0,0.0,0.0,0.0595890410958904,3.89047649052018,9.83954459835281,0.010616438356164375,0.0387366818873668,0.02266797129810827,2.15094446907867,-0.08822026527505979,-0.08662390374719141,1.1622445172295857,0.6198744433499144,-0.08753611033454475
DNK,2023,3.30517811237606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33867888103347,-1.04652285023299,0.0,0.0,0.0,-0.45754850449797146,0.04411013263752989,0.04331195187359571,-0.6776146640811662,-6.426618987733132,0.043768055167272384
DNK,2024,1.37220049768918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.14624122404317,9.82498632297056,0.0,0.0,0.0,-1.6933959645806915,0.04411013263752989,0.04331195187359571,-0.48462985314841767,5.80674454438321,0.043768055167272384
DOM,2022,8.81109209279587,0.0429223744292237,0.0429223744292237,0.0643835616438356,0.1287671232876712,0.0643835616438356,0.0,0.0,0.0767123287671232,-2.46543421506128,21.7508363792943,0.0482876712328767,0.06133942161339417,0.053881278538812756,1.7571386684613906,-0.06310611002391825,-0.07155541059650651,1.2732115438485687,5.062751192116902,-0.06672723884074178
DOM,2023,4.78561281021135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.1776265344522,13.7042096284029,0.0,0.0,0.0,-0.4854447011832299,0.03155305501195912,0.035777705298253255,-0.727042347366393,0.8556984587282557,0.03336361942037089
DOM,2024,3.30223338951227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.38217585149103,5.56820715991669,0.0,0.0,0.0,-1.2716939672781518,0.03155305501195912,0.035777705298253255,-0.5461691964821744,-5.918449650845162,0.03336361942037089
GBR,2022,7.92204883147902,0.0986301369863013,0.0977168949771689,0.1726027397260274,0.0924657534246575,0.1465753424657534,0.0,0.0,0.0520547945205479,-9.17408204070175,9.7064401774406,0.06626712328767123,0.09878234398782341,0.08020221787345072,0.5052118893917523,-0.05111980865405523,-0.04659346234688701,-1.1928900979597352,-2.6561170347549545,-0.04917994595098313
GBR,2023,6.79396706793963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.6017379653763,9.73272949147508,0.0,0.0,0.0,1.1600260387922638,0.025559904327027608,0.023296731173443504,1.091392405541673,1.2097462967822779,0.024589972975491564
GBR,2024,3.2715729463592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.97705514642296,8.60749957375268,0.0,0.0,0.0,-1.665237928184009,0.025559904327027608,0.023296731173443504,0.10149769241806172,1.4463707379726696,0.024589972975491564
GEO,2022,11.8981654203198,0.0146118721461187,0.1351598173515981,0.1794520547945205,0.084931506849315,0.0,0.0,0.0,0.1534246575342465,-5.89305711086226,24.6080157505345,0.06609589041095887,0.0961948249619482,0.0789954337899543,5.311976904715848,-0.0512339639051968,-0.04831847503080382,-1.6862463221924742,5.908914714192264,-0.049984468673314075
GEO,2023,2.48776056578715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.52017567938512,11.4110987014637,0.0,0.0,0.0,-2.3155320368769026,0.025616981952598396,0.02415923751540191,0.39857353746062385,-3.4484283173757824,0.024992234336657038
GEO,2024,1.10971758022096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.01649890003694,11.0371862631102,0.0,0.0,0.0,-2.9964448678389353,0.025616981952598396,0.02415923751540191,1.2876727847318525,-2.4604863968164903,0.024992234336657038
